{'code': '000100', 'comp_nm': '유한양행', 'account_id': 'ifrs-full_Assets', 'account_nm': '자산총계', 'target_nm': '자산총계', 'value': 2393522100926}
{'code': '000120', 'comp_nm': 'CJ대한통운', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '자본총계', 'value': 4039942261540}
{'code': '000120', 'comp_nm': 'CJ대한통운', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '전기 자본총계', 'value': 3655245272225}
{'code': '000120', 'comp_nm': 'CJ대한통운', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '부채총계', 'value': 5603556698067}
{'code': '000120', 'comp_nm': 'CJ대한통운', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '전기 부채총계', 'value': 5454770837946}
{'code': '000120', 'comp_nm': 'CJ대한통운', 'account_id': 'ifrs-full_CurrentLiabilities', 'account_nm': '유동부채', 'target_nm': '유동부채', 'value': 2807606983722}
{'code': '000120', 'comp_nm': 'CJ대한통운', 'account_id': 'ifrs-full_CurrentAssets', 'account_nm': '유동자산', 'target_nm': '유동자산', 'value': 2538547347452}
{'code': '000120', 'comp_nm': 'CJ대한통운', 'account_id': 'ifrs-full_Inventories', 'account_nm': '재고자산', 'target_nm': '재고자산', 'value': 25323773935}
{'code': '000120', 'comp_nm': 'CJ대한통운', 'account_id': 'ifrs-full_Assets', 'account_nm': '자산총계', 'target_nm': '자산총계', 'value': 9643498959607}
{'code': '000140', 'comp_nm': '하이트진로홀딩스', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '자본총계', 'value': 1060384697419}
{'code': '000140', 'comp_nm': '하이트진로홀딩스', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '전기 자본총계', 'value': 982563609890}
{'code': '000140', 'comp_nm': '하이트진로홀딩스', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '부채총계', 'value': 2844595889181}
{'code': '000140', 'comp_nm': '하이트진로홀딩스', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '전기 부채총계', 'value': 2854140489866}
{'code': '000140', 'comp_nm': '하이트진로홀딩스', 'account_id': 'ifrs-full_CurrentLiabilities', 'account_nm': '유동부채', 'target_nm': '유동부채', 'value': 1838697111311}
{'code': '000140', 'comp_nm': '하이트진로홀딩스', 'account_id': 'ifrs-full_CurrentAssets', 'account_nm': '유동자산', 'target_nm': '유동자산', 'value': 917848944112}
{'code': '000140', 'comp_nm': '하이트진로홀딩스', 'account_id': 'ifrs-full_Inventories', 'account_nm': '재고자산', 'target_nm': '재고자산', 'value': 189394047724}
{'code': '000140', 'comp_nm': '하이트진로홀딩스', 'account_id': 'ifrs-full_Assets', 'account_nm': '자산총계', 'target_nm': '자산총계', 'value': 3904980586600}
{'code': '000150', 'comp_nm': '두산', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '자본총계', 'value': 7709528729880}
{'code': '000150', 'comp_nm': '두산', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '전기 자본총계', 'value': 6819539375411}
{'code': '000150', 'comp_nm': '두산', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '부채총계', 'value': 22408094225620}
{'code': '000150', 'comp_nm': '두산', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '전기 부채총계', 'value': 22350207440680}
{'code': '000150', 'comp_nm': '두산', 'account_id': 'ifrs-full_CurrentLiabilities', 'account_nm': '유동부채', 'target_nm': '유동부채', 'value': 15808245254046}
{'code': '000150', 'comp_nm': '두산', 'account_id': 'ifrs-full_CurrentAssets', 'account_nm': '유동자산', 'target_nm': '유동자산', 'value': 12598323857273}
{'code': '000150', 'comp_nm': '두산', 'account_id': 'ifrs-full_Inventories', 'account_nm': '재고자산', 'target_nm': '재고자산', 'value': 2421951527992}
